iter	Passed	Remaining
0	138	138647
1	139	69621
2	140	46591
3	140	35068
4	141	28191
5	142	23590
6	143	20307
7	144	17862
8	145	15968
9	145	14442
10	146	13191
11	147	12159
12	148	11297
13	150	10567
14	151	9918
15	151	9343
16	152	8840
17	153	8383
18	154	7978
19	155	7614
20	156	7282
21	156	6977
22	157	6697
23	158	6443
24	159	6209
25	159	5989
26	160	5788
27	161	5602
28	162	5427
29	162	5264
30	163	5110
31	164	4965
32	164	4831
33	165	4706
34	166	4586
35	167	4476
36	168	4375
37	168	4277
38	169	4181
39	170	4090
40	171	4005
41	172	3926
42	172	3849
43	173	3773
44	174	3702
45	175	3637
46	176	3572
47	177	3511
48	177	3452
49	178	3397
50	180	3349
51	181	3301
52	182	3253
53	183	3208
54	184	3166
55	185	3121
56	186	3080
57	187	3039
58	188	3003
59	189	2966
60	190	2928
61	191	2894
62	192	2862
63	193	2832
64	194	2802
65	196	2775
66	197	2750
67	198	2717
68	199	2692
69	200	2668
70	202	2648
71	204	2629
72	205	2611
73	207	2594
74	208	2575
75	210	2556
76	211	2535
77	212	2515
78	214	2498
79	215	2480
80	217	2463
81	219	2452
82	220	2441
83	222	2426
84	223	2405
85	225	2393
86	226	2375
87	227	2358
88	229	2346
89	231	2339
90	232	2326
91	234	2313
92	235	2300
93	237	2288
94	238	2276
95	240	2264
96	242	2253
97	244	2246
98	245	2238
99	247	2228
100	249	2218
101	250	2201
102	251	2189
103	252	2179
104	254	2169
105	256	2161
106	257	2152
107	259	2141
108	261	2136
109	262	2126
110	264	2117
111	265	2108
112	267	2099
113	269	2092
114	270	2082
115	271	2072
116	273	2065
117	275	2057
118	276	2048
119	278	2040
120	279	2033
121	281	2025
122	282	2013
123	283	2005
124	285	1998
125	287	1992
126	288	1984
127	289	1973
128	291	1967
129	293	1962
130	295	1957
131	296	1952
132	298	1948
133	300	1942
134	302	1935
135	303	1928
136	305	1922
137	306	1913
138	307	1906
139	309	1900
140	310	1894
141	312	1885
142	313	1877
143	314	1868
144	315	1862
145	317	1857
146	318	1851
147	320	1843
148	321	1837
149	323	1833
150	324	1826
151	326	1820
152	327	1813
153	328	1807
154	330	1802
155	331	1795
156	333	1789
157	335	1786
158	336	1779
159	337	1773
160	338	1766
161	340	1760
162	341	1755
163	343	1749
164	344	1745
165	346	1739
166	347	1732
167	348	1727
168	349	1720
169	351	1713
170	352	1707
171	353	1701
172	354	1696
173	356	1690
174	357	1685
175	358	1679
176	360	1673
177	361	1667
178	362	1661
179	363	1656
180	364	1647
181	365	1642
182	366	1638
183	368	1633
184	369	1629
185	371	1624
186	372	1618
187	373	1612
188	374	1606
189	375	1602
190	376	1596
191	378	1591
192	380	1589
193	381	1585
194	382	1580
195	384	1575
196	385	1570
197	386	1566
198	388	1561
199	389	1557
200	390	1554
201	392	1550
202	393	1546
203	395	1542
204	396	1538
205	397	1533
206	399	1529
207	400	1524
208	402	1521
209	403	1518
210	405	1515
211	406	1511
212	408	1507
213	409	1504
214	410	1500
215	412	1496
216	414	1494
217	415	1491
218	417	1488
219	419	1486
220	420	1482
221	422	1479
222	423	1476
223	425	1474
224	427	1471
225	428	1468
226	430	1465
227	431	1461
228	433	1458
229	434	1455
230	436	1451
231	437	1448
232	439	1445
233	440	1442
234	442	1440
235	443	1437
236	445	1433
237	447	1431
238	448	1428
239	450	1425
240	451	1423
241	453	1419
242	454	1416
243	456	1414
244	457	1411
245	459	1408
246	461	1405
247	462	1402
248	463	1399
249	465	1396
250	467	1394
251	468	1391
252	470	1388
253	472	1386
254	473	1383
255	475	1380
256	476	1378
257	478	1376
258	480	1373
259	481	1370
260	483	1368
261	484	1365
262	486	1362
263	487	1359
264	489	1357
265	490	1354
266	492	1351
267	494	1349
268	495	1346
269	496	1343
270	498	1340
271	499	1336
272	500	1333
273	502	1330
274	503	1327
275	504	1324
276	506	1321
277	507	1318
278	508	1314
279	510	1311
280	511	1308
281	512	1304
282	513	1301
283	515	1298
284	516	1295
285	518	1293
286	519	1290
287	520	1287
288	522	1284
289	523	1282
290	525	1279
291	526	1276
292	527	1273
293	529	1271
294	530	1268
295	532	1266
296	533	1263
297	535	1260
298	536	1257
299	537	1254
300	539	1252
301	540	1249
302	541	1246
303	543	1243
304	544	1240
305	545	1238
306	547	1235
307	548	1232
308	549	1229
309	551	1226
310	552	1223
311	553	1220
312	554	1217
313	556	1215
314	557	1211
315	558	1208
316	559	1205
317	560	1202
318	561	1198
319	563	1196
320	564	1194
321	565	1191
322	566	1188
323	568	1185
324	569	1182
325	570	1179
326	571	1176
327	572	1173
328	573	1170
329	575	1167
330	576	1164
331	577	1162
332	578	1159
333	580	1156
334	581	1154
335	582	1151
336	584	1148
337	585	1146
338	586	1143
339	587	1141
340	589	1138
341	590	1136
342	592	1134
343	593	1132
344	595	1130
345	596	1127
346	597	1124
347	598	1122
348	600	1119
349	601	1117
350	602	1114
351	604	1112
352	605	1109
353	606	1106
354	607	1104
355	609	1101
356	610	1099
357	611	1096
358	613	1094
359	614	1092
360	615	1090
361	617	1087
362	618	1085
363	619	1082
364	620	1080
365	622	1077
366	623	1075
367	624	1073
368	626	1070
369	627	1068
370	628	1065
371	629	1063
372	631	1060
373	632	1058
374	633	1055
375	634	1052
376	635	1050
377	636	1047
378	637	1045
379	639	1042
380	640	1040
381	641	1038
382	643	1036
383	644	1034
384	646	1032
385	647	1029
386	648	1027
387	649	1024
388	651	1022
389	652	1020
390	653	1018
391	655	1016
392	656	1014
393	658	1012
394	659	1010
395	660	1007
396	661	1005
397	663	1003
398	664	1001
399	665	998
400	667	996
401	668	994
402	669	992
403	670	989
404	671	987
405	673	984
406	674	982
407	676	981
408	677	979
409	679	977
410	680	974
411	681	972
412	682	970
413	683	967
414	685	965
415	686	963
416	687	961
417	689	959
418	690	957
419	692	955
420	693	953
421	694	951
422	695	949
423	697	946
424	698	944
425	699	942
426	701	940
427	702	939
428	703	936
429	705	934
430	706	932
431	707	930
432	709	928
433	710	926
434	711	924
435	713	922
436	714	920
437	716	919
438	717	917
439	719	915
440	720	913
441	722	911
442	723	910
443	725	908
444	726	906
445	728	904
446	729	903
447	731	901
448	733	899
449	734	897
450	736	896
451	738	894
452	739	893
453	741	891
454	743	889
455	750	895
456	754	896
457	755	894
458	757	893
459	760	892
460	761	890
461	764	890
462	767	889
463	769	888
464	771	887
465	773	886
466	777	887
467	785	892
468	788	892
469	790	891
470	792	890
471	794	888
472	796	887
473	798	885
474	799	883
475	801	881
476	802	880
477	804	878
478	806	876
479	808	875
480	811	875
481	812	873
482	814	871
483	816	870
484	817	868
485	819	866
486	821	864
487	822	863
488	824	861
489	826	860
490	827	858
491	829	856
492	830	854
493	832	852
494	833	850
495	836	849
496	837	847
497	839	845
498	840	843
499	842	842
500	843	840
501	844	837
502	846	836
503	847	834
504	849	832
505	850	830
506	852	828
507	853	826
508	854	824
509	856	822
510	858	821
511	859	819
512	861	817
513	862	815
514	863	813
515	865	811
516	867	810
517	868	808
518	870	806
519	871	804
520	873	802
521	874	801
522	876	799
523	877	797
524	879	795
525	880	793
526	882	791
527	883	789
528	885	788
529	887	786
530	889	785
531	890	783
532	892	782
533	894	780
534	895	778
535	897	777
536	898	775
537	900	773
538	902	771
539	904	770
540	905	768
541	906	766
542	908	764
543	909	762
544	911	760
545	912	758
546	914	757
547	916	755
548	917	753
549	918	751
550	920	749
551	921	748
552	923	746
553	924	744
554	925	742
555	926	740
556	928	738
557	929	736
558	930	734
559	931	732
560	933	730
561	934	728
562	935	726
563	937	724
564	938	722
565	940	721
566	941	719
567	943	717
568	944	715
569	945	713
570	946	711
571	948	709
572	949	707
573	950	705
574	951	703
575	952	701
576	953	699
577	955	697
578	956	695
579	957	693
580	958	691
581	960	689
582	961	687
583	962	685
584	964	684
585	965	682
586	966	680
587	967	678
588	969	676
589	970	674
590	972	672
591	973	670
592	974	668
593	975	666
594	976	664
595	978	663
596	979	661
597	980	659
598	982	657
599	983	655
600	985	654
601	986	652
602	988	650
603	989	648
604	990	646
605	991	644
606	992	642
607	994	640
608	995	639
609	997	637
610	999	636
611	1000	634
612	1001	632
613	1002	630
614	1004	628
615	1005	626
616	1006	624
617	1007	622
618	1009	621
619	1010	619
620	1011	617
621	1013	615
622	1014	614
623	1016	612
624	1017	610
625	1018	608
626	1019	606
627	1021	604
628	1022	603
629	1024	601
630	1025	599
631	1026	597
632	1028	596
633	1029	594
634	1031	592
635	1032	590
636	1033	589
637	1035	587
638	1036	585
639	1037	583
640	1038	581
641	1039	579
642	1041	577
643	1042	576
644	1043	574
645	1044	572
646	1045	570
647	1047	568
648	1048	567
649	1049	565
650	1050	563
651	1052	561
652	1053	560
653	1055	558
654	1057	556
655	1058	555
656	1059	553
657	1061	551
658	1062	549
659	1064	548
660	1065	546
661	1066	544
662	1068	543
663	1069	541
664	1070	539
665	1072	537
666	1073	536
667	1075	534
668	1076	532
669	1077	530
670	1079	529
671	1080	527
672	1081	525
673	1082	523
674	1084	522
675	1085	520
676	1086	518
677	1087	516
678	1089	515
679	1090	513
680	1091	511
681	1092	509
682	1093	507
683	1095	505
684	1096	504
685	1097	502
686	1098	500
687	1100	498
688	1101	497
689	1102	495
690	1103	493
691	1104	491
692	1105	489
693	1106	488
694	1108	486
695	1109	484
696	1110	482
697	1112	481
698	1113	479
699	1114	477
700	1115	475
701	1116	474
702	1118	472
703	1119	470
704	1120	468
705	1121	466
706	1122	465
707	1123	463
708	1124	461
709	1126	460
710	1127	458
711	1128	456
712	1130	455
713	1131	453
714	1132	451
715	1134	449
716	1135	448
717	1137	446
718	1138	445
719	1140	443
720	1141	441
721	1142	440
722	1144	438
723	1145	436
724	1147	435
725	1148	433
726	1150	431
727	1151	430
728	1152	428
729	1154	426
730	1155	425
731	1156	423
732	1158	421
733	1159	420
734	1160	418
735	1162	416
736	1163	415
737	1164	413
738	1165	411
739	1166	409
740	1168	408
741	1169	406
742	1171	405
743	1172	403
744	1174	401
745	1175	400
746	1177	398
747	1178	396
748	1179	395
749	1180	393
750	1181	391
751	1183	390
752	1184	388
753	1186	387
754	1187	385
755	1189	383
756	1190	382
757	1191	380
758	1192	378
759	1194	377
760	1195	375
761	1197	373
762	1198	372
763	1199	370
764	1200	368
765	1202	367
766	1203	365
767	1204	363
768	1205	362
769	1206	360
770	1208	358
771	1209	357
772	1210	355
773	1212	353
774	1213	352
775	1214	350
776	1216	349
777	1217	347
778	1218	345
779	1219	344
780	1221	342
781	1222	340
782	1224	339
783	1225	337
784	1226	335
785	1227	334
786	1229	332
787	1230	331
788	1231	329
789	1232	327
790	1234	326
791	1235	324
792	1236	322
793	1238	321
794	1239	319
795	1240	317
796	1242	316
797	1243	314
798	1244	313
799	1245	311
800	1247	309
801	1248	308
802	1250	306
803	1251	305
804	1252	303
805	1253	301
806	1255	300
807	1256	298
808	1257	296
809	1259	295
810	1260	293
811	1261	292
812	1262	290
813	1264	288
814	1265	287
815	1267	285
816	1268	284
817	1269	282
818	1271	280
819	1272	279
820	1274	277
821	1275	276
822	1277	274
823	1278	273
824	1279	271
825	1281	269
826	1282	268
827	1284	266
828	1286	265
829	1287	263
830	1288	262
831	1290	260
832	1291	258
833	1292	257
834	1294	255
835	1295	254
836	1296	252
837	1298	250
838	1299	249
839	1301	247
840	1302	246
841	1303	244
842	1304	242
843	1305	241
844	1306	239
845	1308	238
846	1309	236
847	1311	235
848	1312	233
849	1314	231
850	1315	230
851	1316	228
852	1317	227
853	1319	225
854	1320	223
855	1321	222
856	1323	220
857	1324	219
858	1326	217
859	1327	216
860	1328	214
861	1330	212
862	1331	211
863	1332	209
864	1334	208
865	1335	206
866	1336	205
867	1337	203
868	1338	201
869	1340	200
870	1341	198
871	1342	197
872	1343	195
873	1345	193
874	1346	192
875	1347	190
876	1349	189
877	1350	187
878	1351	186
879	1352	184
880	1353	182
881	1354	181
882	1355	179
883	1357	178
884	1358	176
885	1359	174
886	1361	173
887	1362	171
888	1364	170
889	1365	168
890	1366	167
891	1368	165
892	1369	164
893	1370	162
894	1372	161
895	1373	159
896	1375	157
897	1376	156
898	1378	154
899	1379	153
900	1380	151
901	1381	150
902	1383	148
903	1384	147
904	1386	145
905	1387	143
906	1388	142
907	1389	140
908	1390	139
909	1392	137
910	1393	136
911	1394	134
912	1396	133
913	1397	131
914	1398	129
915	1400	128
916	1401	126
917	1402	125
918	1403	123
919	1405	122
920	1406	120
921	1407	119
922	1408	117
923	1409	115
924	1411	114
925	1412	112
926	1413	111
927	1414	109
928	1416	108
929	1417	106
930	1418	105
931	1419	103
932	1420	102
933	1422	100
934	1424	99
935	1426	97
936	1427	95
937	1428	94
938	1429	92
939	1431	91
940	1432	89
941	1433	88
942	1435	86
943	1436	85
944	1438	83
945	1440	82
946	1441	80
947	1443	79
948	1444	77
949	1446	76
950	1447	74
951	1449	73
952	1451	71
953	1452	70
954	1453	68
955	1455	66
956	1456	65
957	1457	63
958	1459	62
959	1461	60
960	1462	59
961	1463	57
962	1465	56
963	1466	54
964	1467	53
965	1468	51
966	1470	50
967	1471	48
968	1473	47
969	1474	45
970	1475	44
971	1476	42
972	1477	41
973	1479	39
974	1480	37
975	1481	36
976	1483	34
977	1485	33
978	1486	31
979	1487	30
980	1489	28
981	1491	27
982	1492	25
983	1493	24
984	1495	22
985	1496	21
986	1498	19
987	1499	18
988	1501	16
989	1502	15
990	1503	13
991	1505	12
992	1507	10
993	1508	9
994	1509	7
995	1510	6
996	1512	4
997	1513	3
998	1514	1
999	1515	0
