iter	Passed	Remaining
0	145	145666
1	146	73230
2	147	48973
3	147	36841
4	148	29568
5	149	24707
6	149	21238
7	150	18632
8	150	16608
9	151	14988
10	151	13664
11	152	12565
12	153	11639
13	153	10839
14	154	10150
15	155	9548
16	155	9014
17	156	8538
18	157	8113
19	157	7734
20	158	7395
21	159	7092
22	160	6809
23	160	6544
24	161	6299
25	162	6078
26	162	5869
27	163	5679
28	164	5498
29	164	5328
30	165	5172
31	166	5025
32	166	4887
33	167	4758
34	168	4636
35	168	4520
36	169	4411
37	170	4308
38	170	4209
39	171	4115
40	172	4030
41	173	3947
42	173	3866
43	174	3792
44	175	3717
45	175	3645
46	176	3576
47	177	3510
48	177	3447
49	178	3387
50	178	3329
51	179	3272
52	180	3217
53	180	3166
54	181	3118
55	182	3071
56	182	3024
57	183	2980
58	184	2937
59	184	2895
60	185	2854
61	186	2815
62	186	2777
63	187	2739
64	188	2705
65	188	2671
66	189	2638
67	190	2605
68	190	2573
69	191	2541
70	191	2510
71	192	2480
72	193	2451
73	193	2423
74	194	2395
75	194	2368
76	195	2342
77	196	2317
78	196	2293
79	197	2271
80	198	2249
81	199	2228
82	199	2203
83	200	2182
84	200	2161
85	201	2141
86	202	2122
87	203	2104
88	203	2085
89	204	2066
90	205	2047
91	205	2028
92	206	2010
93	206	1992
94	207	1974
95	207	1957
96	208	1940
97	209	1924
98	209	1908
99	210	1892
100	210	1877
101	211	1862
102	212	1847
103	212	1833
104	213	1819
105	214	1806
106	214	1793
107	215	1779
108	216	1767
109	216	1755
110	217	1744
111	218	1733
112	219	1721
113	219	1709
114	220	1697
115	221	1685
116	221	1673
117	222	1662
118	223	1652
119	223	1641
120	224	1631
121	225	1619
122	225	1610
123	226	1600
124	227	1590
125	227	1581
126	228	1570
127	229	1561
128	229	1551
129	230	1542
130	231	1533
131	231	1524
132	232	1515
133	233	1506
134	233	1498
135	234	1490
136	235	1482
137	235	1473
138	236	1464
139	237	1456
140	237	1447
141	238	1438
142	238	1430
143	239	1421
144	239	1413
145	240	1406
146	241	1398
147	241	1391
